cOUnty,statE,statE_cOdE,pOpUlatIOn
Stark County,Ohio,OH,373475
Summit County,Ohio,OH,541810
Trumbull County,Ohio,OH,201794
Tuscarawas County,Ohio,OH,92526
Union County,Ohio,OH,55654
Van Wert County,Ohio,OH,28281
Vinton County,Ohio,OH,13111
Warren County,Ohio,OH,226564
Washington County,Ohio,OH,60671
Wayne County,Ohio,OH,116208
Williams County,Ohio,OH,36936
Wood County,Ohio,OH,129936
Wyandot County,Ohio,OH,22107
Adair County,Oklahoma,OK,22113
Alfalfa County,Oklahoma,OK,5857
Atoka County,Oklahoma,OK,13874
Beaver County,Oklahoma,OK,5415
Beckham County,Oklahoma,OK,22621
Blaine County,Oklahoma,OK,9634
Bryan County,Oklahoma,OK,45759
Caddo County,Oklahoma,OK,29342
Canadian County,Oklahoma,OK,136710
Carter County,Oklahoma,OK,48406
Cherokee County,Oklahoma,OK,48599
Choctaw County,Oklahoma,OK,14886
Cimarron County,Oklahoma,OK,2189
Cleveland County,Oklahoma,OK,276733
Coal County,Oklahoma,OK,5618
Comanche County,Oklahoma,OK,122561
Cotton County,Oklahoma,OK,5929
Craig County,Oklahoma,OK,14493
Creek County,Oklahoma,OK,71160
Custer County,Oklahoma,OK,29209
Delaware County,Oklahoma,OK,42112
Dewey County,Oklahoma,OK,4918
Ellis County,Oklahoma,OK,4072
Garfield County,Oklahoma,OK,62190
Garvin County,Oklahoma,OK,27823
Grady County,Oklahoma,OK,54733
Grant County,Oklahoma,OK,4418
Greer County,Oklahoma,OK,5943
Harmon County,Oklahoma,OK,2721
Harper County,Oklahoma,OK,3847
Haskell County,Oklahoma,OK,12704
Hughes County,Oklahoma,OK,13460
Jackson County,Oklahoma,OK,25384
Jefferson County,Oklahoma,OK,6223
Johnston County,Oklahoma,OK,11041
Kay County,Oklahoma,OK,44880
Kingfisher County,Oklahoma,OK,15618
Kiowa County,Oklahoma,OK,9001
Latimer County,Oklahoma,OK,10495
Le Flore County,Oklahoma,OK,49909
Lincoln County,Oklahoma,OK,34854
Logan County,Oklahoma,OK,46044
Love County,Oklahoma,OK,9933
McClain County,Oklahoma,OK,38634
McCurtain County,Oklahoma,OK,32966
McIntosh County,Oklahoma,OK,19819
Major County,Oklahoma,OK,7718
Marshall County,Oklahoma,OK,16376
Mayes County,Oklahoma,OK,40980
Murray County,Oklahoma,OK,13875
Muskogee County,Oklahoma,OK,69084
Noble County,Oklahoma,OK,11411
Nowata County,Oklahoma,OK,10383
Okfuskee County,Oklahoma,OK,12115
Oklahoma County,Oklahoma,OK,782051
Okmulgee County,Oklahoma,OK,38889
Osage County,Oklahoma,OK,47311
Ottawa County,Oklahoma,OK,31566
Pawnee County,Oklahoma,OK,16428
Payne County,Oklahoma,OK,81512
Pittsburg County,Oklahoma,OK,44382
Pontotoc County,Oklahoma,OK,38358
Pottawatomie County,Oklahoma,OK,72000
Pushmataha County,Oklahoma,OK,11119
Roger Mills County,Oklahoma,OK,3708
Rogers County,Oklahoma,OK,90814
Seminole County,Oklahoma,OK,25071
Sequoyah County,Oklahoma,OK,41359
Stephens County,Oklahoma,OK,43983
Texas County,Oklahoma,OK,21121
Tillman County,Oklahoma,OK,7515
Tulsa County,Oklahoma,OK,642781
Wagoner County,Oklahoma,OK,77850
Washington County,Oklahoma,OK,52001
Washita County,Oklahoma,OK,11432
Woods County,Oklahoma,OK,9127
Woodward County,Oklahoma,OK,20967
Baker County,Oregon,OR,15984
Benton County,Oregon,OR,89780
Clackamas County,Oregon,OR,405788
Clatsop County,Oregon,OR,38562
Columbia County,Oregon,OR,50851
Coos County,Oregon,OR,63308
Crook County,Oregon,OR,22337
Curry County,Oregon,OR,22507
Deschutes County,Oregon,OR,180640
Douglas County,Oregon,OR,108323
Gilliam County,Oregon,OR,1907
Grant County,Oregon,OR,7183
Harney County,Oregon,OR,7228
Hood River County,Oregon,OR,23131
Jackson County,Oregon,OR,214267
Jefferson County,Oregon,OR,23143
Josephine County,Oregon,OR,85481
Klamath County,Oregon,OR,66310
Lake County,Oregon,OR,7843
Lane County,Oregon,OR,368882
Lincoln County,Oregon,OR,47881
Linn County,Oregon,OR,122870
Malheur County,Oregon,OR,30431
Marion County,Oregon,OR,335553
Morrow County,Oregon,OR,11215
Multnomah County,Oregon,OR,798647
Polk County,Oregon,OR,81427
Sherman County,Oregon,OR,1605
Tillamook County,Oregon,OR,26076
Umatilla County,Oregon,OR,76898
Union County,Oregon,OR,26028
Wallowa County,Oregon,OR,6924
Wasco County,Oregon,OR,25866
Washington County,Oregon,OR,581821
Wheeler County,Oregon,OR,1426
Yamhill County,Oregon,OR,103820
Adams County,Pennsylvania,PA,102023
Allegheny County,Pennsylvania,PA,1225561
Armstrong County,Pennsylvania,PA,66331
Beaver County,Pennsylvania,PA,166896
Bedford County,Pennsylvania,PA,48611
Berks County,Pennsylvania,PA,416642
Blair County,Pennsylvania,PA,123842
Bradford County,Pennsylvania,PA,61304
Bucks County,Pennsylvania,PA,626370
Butler County,Pennsylvania,PA,186566
Cambria County,Pennsylvania,PA,134550
Cameron County,Pennsylvania,PA,4686
Carbon County,Pennsylvania,PA,63931
Centre County,Pennsylvania,PA,161443
Chester County,Pennsylvania,PA,517156
Clarion County,Pennsylvania,PA,38827
Clearfield County,Pennsylvania,PA,80216
Clinton County,Pennsylvania,PA,39074
Columbia County,Pennsylvania,PA,66220
Crawford County,Pennsylvania,PA,86164
Cumberland County,Pennsylvania,PA,247433
Dauphin County,Pennsylvania,PA,274515
Delaware County,Pennsylvania,PA,563527
Elk County,Pennsylvania,PA,30608
Erie County,Pennsylvania,PA,275972
Fayette County,Pennsylvania,PA,132289
Forest County,Pennsylvania,PA,7351
Franklin County,Pennsylvania,PA,153751
Fulton County,Pennsylvania,PA,14506
Greene County,Pennsylvania,PA,37144
Huntingdon County,Pennsylvania,PA,45421
Indiana County,Pennsylvania,PA,85755
Jefferson County,Pennsylvania,PA,44084
Juniata County,Pennsylvania,PA,24562
Lackawanna County,Pennsylvania,PA,211454
Lancaster County,Pennsylvania,PA,538347
Lawrence County,Pennsylvania,PA,87382
Lebanon County,Pennsylvania,PA,138674
Lehigh County,Pennsylvania,PA,362613
Luzerne County,Pennsylvania,PA,317884
Lycoming County,Pennsylvania,PA,114859
McKean County,Pennsylvania,PA,41806
Mercer County,Pennsylvania,PA,112630
Mifflin County,Pennsylvania,PA,46362
Monroe County,Pennsylvania,PA,167586
Montgomery County,Pennsylvania,PA,821301
Montour County,Pennsylvania,PA,18294
Northampton County,Pennsylvania,PA,301778
Northumberland County,Pennsylvania,PA,92325
Perry County,Pennsylvania,PA,45924
Philadelphia County,Pennsylvania,PA,1575522
Pike County,Pennsylvania,PA,55498
Potter County,Pennsylvania,PA,16937
Schuylkill County,Pennsylvania,PA,143555
Snyder County,Pennsylvania,PA,40466
Somerset County,Pennsylvania,PA,74949
Sullivan County,Pennsylvania,PA,6177
Susquehanna County,Pennsylvania,PA,41340
Tioga County,Pennsylvania,PA,41226
Union County,Pennsylvania,PA,45114
Venango County,Pennsylvania,PA,52376
Warren County,Pennsylvania,PA,40035
Washington County,Pennsylvania,PA,207547
Wayne County,Pennsylvania,PA,51536
Westmoreland County,Pennsylvania,PA,354751
Wyoming County,Pennsylvania,PA,27588
York County,Pennsylvania,PA,444014
Bristol County,Rhode Island,RI,48900
Kent County,Rhode Island,RI,163861
Newport County,Rhode Island,RI,83075
Providence County,Rhode Island,RI,634533
Washington County,Rhode Island,RI,126242
Abbeville County,South Carolina,SC,24657
Aiken County,South Carolina,SC,166926
Allendale County,South Carolina,SC,9214
Anderson County,South Carolina,SC,195995
Bamberg County,South Carolina,SC,14600
Barnwell County,South Carolina,SC,21577
Beaufort County,South Carolina,SC,182658
Berkeley County,South Carolina,SC,209065
Calhoun County,South Carolina,SC,14713
Charleston County,South Carolina,SC,394708
Cherokee County,South Carolina,SC,56711
Chester County,South Carolina,SC,32326
Chesterfield County,South Carolina,SC,46024
Clarendon County,South Carolina,SC,34017
Colleton County,South Carolina,SC,37568
Darlington County,South Carolina,SC,67253
Dillon County,South Carolina,SC,30871
Dorchester County,South Carolina,SC,155474
Edgefield County,South Carolina,SC,26769
Fairfield County,South Carolina,SC,22712
Florence County,South Carolina,SC,138561
Georgetown County,South Carolina,SC,61605
Greenville County,South Carolina,SC,498402
Greenwood County,South Carolina,SC,70264
Hampton County,South Carolina,SC,19807
Horry County,South Carolina,SC,320915
Jasper County,South Carolina,SC,27900
Kershaw County,South Carolina,SC,64361
Lancaster County,South Carolina,SC,89546
Laurens County,South Carolina,SC,66710
Lee County,South Carolina,SC,17606
Lexington County,South Carolina,SC,286316
McCormick County,South Carolina,SC,9606
Marion County,South Carolina,SC,31562
Marlboro County,South Carolina,SC,27131
Newberry County,South Carolina,SC,38068
Oconee County,South Carolina,SC,76696
Orangeburg County,South Carolina,SC,88454
Pickens County,South Carolina,SC,122746
Richland County,South Carolina,SC,408263
Saluda County,South Carolina,SC,20299
Spartanburg County,South Carolina,SC,302195
Sumter County,South Carolina,SC,106995
Union County,South Carolina,SC,27644
Williamsburg County,South Carolina,SC,31794
York County,South Carolina,SC,258641
Aurora County,South Dakota,SD,2759
Beadle County,South Dakota,SD,18374
Bennett County,South Dakota,SD,3437
Bon Homme County,South Dakota,SD,6969
Brookings County,South Dakota,SD,34239
Brown County,South Dakota,SD,38840
Brule County,South Dakota,SD,5256
Buffalo County,South Dakota,SD,2053
Butte County,South Dakota,SD,10177
Campbell County,South Dakota,SD,1435
Charles Mix County,South Dakota,SD,9344
Clark County,South Dakota,SD,3673
Clay County,South Dakota,SD,13925
Codington County,South Dakota,SD,27993
Corson County,South Dakota,SD,4168
Custer County,South Dakota,SD,8573
Davison County,South Dakota,SD,19901
Day County,South Dakota,SD,5506
Deuel County,South Dakota,SD,4306
Dewey County,South Dakota,SD,5779
Douglas County,South Dakota,SD,2930
Edmunds County,South Dakota,SD,3940
Fall River County,South Dakota,SD,6774
Faulk County,South Dakota,SD,2322
Grant County,South Dakota,SD,7217
Gregory County,South Dakota,SD,4201
Haakon County,South Dakota,SD,2082
Hamlin County,South Dakota,SD,6000
Hand County,South Dakota,SD,3301
Hanson County,South Dakota,SD,3397
Harding County,South Dakota,SD,1311
Hughes County,South Dakota,SD,17617
Hutchinson County,South Dakota,SD,7315
Hyde County,South Dakota,SD,1331
Jackson County,South Dakota,SD,3287
Jerauld County,South Dakota,SD,2029
Jones County,South Dakota,SD,735
Kingsbury County,South Dakota,SD,4967
Lake County,South Dakota,SD,12574
Lawrence County,South Dakota,SD,25234
Lincoln County,South Dakota,SD,54914
Lyman County,South Dakota,SD,3869
McCook County,South Dakota,SD,5511
McPherson County,South Dakota,SD,2364
Marshall County,South Dakota,SD,4895
Meade County,South Dakota,SD,27424
Mellette County,South Dakota,SD,2055
Miner County,South Dakota,SD,2229
Minnehaha County,South Dakota,SD,186749
Moody County,South Dakota,SD,6506
Oglala Lakota County,South Dakota,SD,14335
Pennington County,South Dakota,SD,109294
Perkins County,South Dakota,SD,2907
Potter County,South Dakota,SD,2326
Roberts County,South Dakota,SD,10285
Sanborn County,South Dakota,SD,2388
Spink County,South Dakota,SD,6543
Stanley County,South Dakota,SD,2997
Sully County,South Dakota,SD,1331
Todd County,South Dakota,SD,10146
Tripp County,South Dakota,SD,5468
Turner County,South Dakota,SD,8264
Union County,South Dakota,SD,15177
Walworth County,South Dakota,SD,5510
Yankton County,South Dakota,SD,22717
Ziebach County,South Dakota,SD,2814
Anderson County,Tennessee,TN,75775
Bedford County,Tennessee,TN,47558
Benton County,Tennessee,TN,16112
Bledsoe County,Tennessee,TN,14602
Blount County,Tennessee,TN,128443
Bradley County,Tennessee,TN,104557
Campbell County,Tennessee,TN,39687
Cannon County,Tennessee,TN,13976
Carroll County,Tennessee,TN,28018
Carter County,Tennessee,TN,56391
Cheatham County,Tennessee,TN,39929
Chester County,Tennessee,TN,17150
Claiborne County,Tennessee,TN,31613
Clay County,Tennessee,TN,7686
Cocke County,Tennessee,TN,35336
Coffee County,Tennessee,TN,54531
Crockett County,Tennessee,TN,14499
Cumberland County,Tennessee,TN,58634
Davidson County,Tennessee,TN,684017
Decatur County,Tennessee,TN,11683
DeKalb County,Tennessee,TN,19601
Dickson County,Tennessee,TN,51988
Dyer County,Tennessee,TN,37576
Fayette County,Tennessee,TN,39692
Fentress County,Tennessee,TN,17994
Franklin County,Tennessee,TN,41512
Gibson County,Tennessee,TN,49175
Giles County,Tennessee,TN,29167
Grainger County,Tennessee,TN,23013
Greene County,Tennessee,TN,68669
Grundy County,Tennessee,TN,13331
Hamblen County,Tennessee,TN,63740
Hamilton County,Tennessee,TN,357546
Hancock County,Tennessee,TN,6585
Hardeman County,Tennessee,TN,25562
Hardin County,Tennessee,TN,25771
Hawkins County,Tennessee,TN,56402
Haywood County,Tennessee,TN,17779
Henderson County,Tennessee,TN,27859
Henry County,Tennessee,TN,32279
Hickman County,Tennessee,TN,24678
Houston County,Tennessee,TN,8176
Humphreys County,Tennessee,TN,18318
Jackson County,Tennessee,TN,11615
Jefferson County,Tennessee,TN,53247
Johnson County,Tennessee,TN,17789
Knox County,Tennessee,TN,456185
Lake County,Tennessee,TN,7526
Lauderdale County,Tennessee,TN,26297
Lawrence County,Tennessee,TN,42937
Lewis County,Tennessee,TN,11956
Lincoln County,Tennessee,TN,33711
Loudon County,Tennessee,TN,51610
McMinn County,Tennessee,TN,52773
McNairy County,Tennessee,TN,25903
Macon County,Tennessee,TN,23487
Madison County,Tennessee,TN,97682
Marion County,Tennessee,TN,28417
Marshall County,Tennessee,TN,32269
Maury County,Tennessee,TN,89776
Meigs County,Tennessee,TN,11962
Monroe County,Tennessee,TN,45876
Montgomery County,Tennessee,TN,196387
Moore County,Tennessee,TN,6322
Morgan County,Tennessee,TN,21596
Obion County,Tennessee,TN,30520
Overton County,Tennessee,TN,22004
Perry County,Tennessee,TN,7912
Pickett County,Tennessee,TN,5088
Polk County,Tennessee,TN,16782
Putnam County,Tennessee,TN,76440
Rhea County,Tennessee,TN,32628
Roane County,Tennessee,TN,52897
Robertson County,Tennessee,TN,69344
Rutherford County,Tennessee,TN,307128
Scott County,Tennessee,TN,21954
Sequatchie County,Tennessee,TN,14730
Sevier County,Tennessee,TN,96287
Shelby County,Tennessee,TN,937005
Smith County,Tennessee,TN,19458
Stewart County,Tennessee,TN,13301
Sullivan County,Tennessee,TN,156734
Sumner County,Tennessee,TN,179473
Tipton County,Tennessee,TN,61446
Trousdale County,Tennessee,TN,9573
Unicoi County,Tennessee,TN,17780
Union County,Tennessee,TN,19293
Van Buren County,Tennessee,TN,5704
Warren County,Tennessee,TN,40454
Washington County,Tennessee,TN,127055
Wayne County,Tennessee,TN,16649
Weakley County,Tennessee,TN,33626
White County,Tennessee,TN,26580
Williamson County,Tennessee,TN,218648
Wilson County,Tennessee,TN,132663
Anderson County,Texas,TX,57863
Andrews County,Texas,TX,17818
Angelina County,Texas,TX,87607
Aransas County,Texas,TX,24763
Archer County,Texas,TX,8789
Armstrong County,Texas,TX,1916
Atascosa County,Texas,TX,48828
Austin County,Texas,TX,29565
Bailey County,Texas,TX,7092
Bandera County,Texas,TX,21763
Bastrop County,Texas,TX,82577
Baylor County,Texas,TX,3591
Bee County,Texas,TX,32691
Bell County,Texas,TX,342236
Bexar County,Texas,TX,1925865
Blanco County,Texas,TX,11279
Borden County,Texas,TX,665
Bosque County,Texas,TX,18122
Bowie County,Texas,TX,93858
Brazoria County,Texas,TX,353999
Brazos County,Texas,TX,219193
Brewster County,Texas,TX,9216
Briscoe County,Texas,TX,1546
Brooks County,Texas,TX,7180
Brown County,Texas,TX,37834
Burleson County,Texas,TX,17863
Burnet County,Texas,TX,45750
Caldwell County,Texas,TX,41401
Calhoun County,Texas,TX,21807
Callahan County,Texas,TX,13770
Cameron County,Texas,TX,421750
Camp County,Texas,TX,12813
Carson County,Texas,TX,6032
Cass County,Texas,TX,30087
Castro County,Texas,TX,7787
Chambers County,Texas,TX,40292
Cherokee County,Texas,TX,51903
Childress County,Texas,TX,7226
Clay County,Texas,TX,10387
Cochran County,Texas,TX,2904
Coke County,Texas,TX,3275
Coleman County,Texas,TX,8391
Collin County,Texas,TX,944350
Collingsworth County,Texas,TX,2996
Colorado County,Texas,TX,21022
Comal County,Texas,TX,135097
Comanche County,Texas,TX,13495
Concho County,Texas,TX,4233
Cooke County,Texas,TX,39571
Coryell County,Texas,TX,75389
Cottle County,Texas,TX,1623
Crane County,Texas,TX,4839
Crockett County,Texas,TX,3633
Crosby County,Texas,TX,5861
Culberson County,Texas,TX,2241
Dallam County,Texas,TX,7243
Dallas County,Texas,TX,2586552
Dawson County,Texas,TX,12964
Deaf Smith County,Texas,TX,18899
Delta County,Texas,TX,5215
Denton County,Texas,TX,807047
DeWitt County,Texas,TX,20435
Dickens County,Texas,TX,2216
Dimmit County,Texas,TX,10663
Donley County,Texas,TX,3387
Duval County,Texas,TX,11355
Eastland County,Texas,TX,18270
Ector County,Texas,TX,158342
Edwards County,Texas,TX,2055
Ellis County,Texas,TX,168838
El Paso County,Texas,TX,837654
Erath County,Texas,TX,41482
Falls County,Texas,TX,17299
Fannin County,Texas,TX,34175
Fayette County,Texas,TX,25066
Fisher County,Texas,TX,3883
Floyd County,Texas,TX,5872
Foard County,Texas,TX,1408
Fort Bend County,Texas,TX,739342
Franklin County,Texas,TX,10679
Freestone County,Texas,TX,19709
Frio County,Texas,TX,19394
Gaines County,Texas,TX,20321
Galveston County,Texas,TX,327089
Garza County,Texas,TX,6288
Gillespie County,Texas,TX,26208
Glasscock County,Texas,TX,1430
Goliad County,Texas,TX,7531
Gonzales County,Texas,TX,20667
Gray County,Texas,TX,22685
Grayson County,Texas,TX,128560
Gregg County,Texas,TX,123494
Grimes County,Texas,TX,27630
Guadalupe County,Texas,TX,155137
Hale County,Texas,TX,34113
Hall County,Texas,TX,3074
Hamilton County,Texas,TX,8269
Hansford County,Texas,TX,5547
Hardeman County,Texas,TX,3952
Hardin County,Texas,TX,56379
Harris County,Texas,TX,4602523
Harrison County,Texas,TX,66645
Hartley County,Texas,TX,5767
Haskell County,Texas,TX,5809
Hays County,Texas,TX,204150
Hemphill County,Texas,TX,4061
Henderson County,Texas,TX,80460
Hidalgo County,Texas,TX,849389
Hill County,Texas,TX,35399
Hockley County,Texas,TX,23162
Hood County,Texas,TX,56901
Hopkins County,Texas,TX,36240
Houston County,Texas,TX,22955
Howard County,Texas,TX,36667
Hudspeth County,Texas,TX,4098
Hunt County,Texas,TX,92152
Hutchinson County,Texas,TX,21571
Irion County,Texas,TX,1524
Jack County,Texas,TX,8842
Jackson County,Texas,TX,14820
Jasper County,Texas,TX,35504
Jeff Davis County,Texas,TX,2234
Jefferson County,Texas,TX,255210
Jim Hogg County,Texas,TX,5282
Jim Wells County,Texas,TX,41192
Johnson County,Texas,TX,163475
Jones County,Texas,TX,19891
Karnes County,Texas,TX,15387
Kaufman County,Texas,TX,118910
Kendall County,Texas,TX,41982
Kenedy County,Texas,TX,595
Kent County,Texas,TX,749
Kerr County,Texas,TX,51365
Kimble County,Texas,TX,4408
King County,Texas,TX,228
Kinney County,Texas,TX,3675
Kleberg County,Texas,TX,31425
Knox County,Texas,TX,3733
Lamar County,Texas,TX,49532
Lamb County,Texas,TX,13262
Lampasas County,Texas,TX,20640
La Salle County,Texas,TX,7409
Lavaca County,Texas,TX,19941
Lee County,Texas,TX,16952
Leon County,Texas,TX,17098
Liberty County,Texas,TX,81862
Limestone County,Texas,TX,23515
Lipscomb County,Texas,TX,3469
Live Oak County,Texas,TX,12123
Llano County,Texas,TX,20640
Loving County,Texas,TX,102
Lubbock County,Texas,TX,301454
Lynn County,Texas,TX,5808
McCulloch County,Texas,TX,8098
McLennan County,Texas,TX,248429
McMullen County,Texas,TX,662
Madison County,Texas,TX,14128
Marion County,Texas,TX,10083
Martin County,Texas,TX,5614
Mason County,Texas,TX,4161
Matagorda County,Texas,TX,36743
Maverick County,Texas,TX,57970
Medina County,Texas,TX,49334
Menard County,Texas,TX,2123
Midland County,Texas,TX,164194
Milam County,Texas,TX,24664
Mills County,Texas,TX,4902
Mitchell County,Texas,TX,8558
Montague County,Texas,TX,19409
Montgomery County,Texas,TX,554445
Moore County,Texas,TX,21801
Morris County,Texas,TX,12424
Motley County,Texas,TX,1156
Nacogdoches County,Texas,TX,65558
Navarro County,Texas,TX,48583
Newton County,Texas,TX,14057
Nolan County,Texas,TX,14966
Nueces County,Texas,TX,360486
Ochiltree County,Texas,TX,10348
Oldham County,Texas,TX,2090
Orange County,Texas,TX,84047
Palo Pinto County,Texas,TX,28317
Panola County,Texas,TX,23440
Parker County,Texas,TX,129802
Parmer County,Texas,TX,9852
Pecos County,Texas,TX,15797
Polk County,Texas,TX,47837
Potter County,Texas,TX,120899
Presidio County,Texas,TX,7123
Rains County,Texas,TX,11473
Randall County,Texas,TX,132475
Reagan County,Texas,TX,3752
Real County,Texas,TX,3389
Red River County,Texas,TX,12275
Reeves County,Texas,TX,15125
Refugio County,Texas,TX,7236
Roberts County,Texas,TX,885
Robertson County,Texas,TX,16890
Rockwall County,Texas,TX,93642
Runnels County,Texas,TX,10310
Rusk County,Texas,TX,53595
Sabine County,Texas,TX,10458
San Augustine County,Texas,TX,8327
San Jacinto County,Texas,TX,27819
San Patricio County,Texas,TX,67046
San Saba County,Texas,TX,5962
Schleicher County,Texas,TX,3061
Scurry County,Texas,TX,17239
Shackelford County,Texas,TX,3311
Shelby County,Texas,TX,25478
Sherman County,Texas,TX,3058
Smith County,Texas,TX,225015
Somervell County,Texas,TX,8743
Starr County,Texas,TX,63894
Stephens County,Texas,TX,9372
Sterling County,Texas,TX,1141
Stonewall County,Texas,TX,1385
Sutton County,Texas,TX,3865
Swisher County,Texas,TX,7484
Tarrant County,Texas,TX,2019977
Taylor County,Texas,TX,136348
Terrell County,Texas,TX,862
Terry County,Texas,TX,12615
Throckmorton County,Texas,TX,1567
Titus County,Texas,TX,32730
Tom Green County,Texas,TX,117466
Travis County,Texas,TX,1203166
Trinity County,Texas,TX,14569
Tyler County,Texas,TX,21496
Upshur County,Texas,TX,40769
Upton County,Texas,TX,3634
Uvalde County,Texas,TX,27009
Val Verde County,Texas,TX,49027
Van Zandt County,Texas,TX,54368
Victoria County,Texas,TX,91970
Walker County,Texas,TX,71539
Waller County,Texas,TX,49987
Ward County,Texas,TX,11586
Washington County,Texas,TX,34796
Webb County,Texas,TX,272053
Wharton County,Texas,TX,41551
Wheeler County,Texas,TX,5482
Wichita County,Texas,TX,131818
Wilbarger County,Texas,TX,12906
Willacy County,Texas,TX,21754
Williamson County,Texas,TX,527057
Wilson County,Texas,TX,48198
Winkler County,Texas,TX,7802
Wise County,Texas,TX,64639
Wood County,Texas,TX,43815
Yoakum County,Texas,TX,8571
Young County,Texas,TX,18114
Zapata County,Texas,TX,14369
Zavala County,Texas,TX,12131
Beaver County,Utah,UT,6443
Box Elder County,Utah,UT,53001
Cache County,Utah,UT,122336
Carbon County,Utah,UT,20356
Daggett County,Utah,UT,612
Davis County,Utah,UT,340621
Duchesne County,Utah,UT,20219
Emery County,Utah,UT,10248
Garfield County,Utah,UT,5017
Grand County,Utah,UT,9616
Iron County,Utah,UT,49691
Juab County,Utah,UT,10948
Kane County,Utah,UT,7350
Millard County,Utah,UT,12733
Morgan County,Utah,UT,11391
Piute County,Utah,UT,1904
Rich County,Utah,UT,2350
Salt Lake County,Utah,UT,1120805
San Juan County,Utah,UT,15281
Sanpete County,Utah,UT,29366
Sevier County,Utah,UT,21118
Summit County,Utah,UT,40511
Tooele County,Utah,UT,65185
Uintah County,Utah,UT,36323
Utah County,Utah,UT,590440
Wasatch County,Utah,UT,30523
Washington County,Utah,UT,160537
Wayne County,Utah,UT,2694
Weber County,Utah,UT,247731
Addison County,Vermont,VT,36939
Bennington County,Vermont,VT,35920
Caledonia County,Vermont,VT,30425
Chittenden County,Vermont,VT,162052
Essex County,Vermont,VT,6208
Franklin County,Vermont,VT,49025
Grand Isle County,Vermont,VT,6965
Lamoille County,Vermont,VT,25268
Orange County,Vermont,VT,28937
Orleans County,Vermont,VT,26911
Rutland County,Vermont,VT,59273
Washington County,Vermont,VT,58477
Windham County,Vermont,VT,43150
Windsor County,Vermont,VT,55427
Accomack County,Virginia,VA,32742
Albemarle County,Virginia,VA,106355
Alleghany County,Virginia,VA,15286
Amelia County,Virginia,VA,12854
Amherst County,Virginia,VA,31882
Appomattox County,Virginia,VA,15577
Arlington County,Virginia,VA,231803
Augusta County,Virginia,VA,74701
Bath County,Virginia,VA,4393
Bedford County,Virginia,VA,77908
Bland County,Virginia,VA,6447
Botetourt County,Virginia,VA,33222
Brunswick County,Virginia,VA,16665
Buchanan County,Virginia,VA,22138
Buckingham County,Virginia,VA,17004
Campbell County,Virginia,VA,55170
Caroline County,Virginia,VA,30184
Carroll County,Virginia,VA,29738
Charles City County,Virginia,VA,6995
Charlotte County,Virginia,VA,12095
Chesterfield County,Virginia,VA,339447
Clarke County,Virginia,VA,14365
Craig County,Virginia,VA,5113
Culpeper County,Virginia,VA,50450
Cumberland County,Virginia,VA,9786
Dickenson County,Virginia,VA,14960
Dinwiddie County,Virginia,VA,28308
Essex County,Virginia,VA,11036
Fairfax County,Virginia,VA,1143529
Fauquier County,Virginia,VA,69115
Floyd County,Virginia,VA,15666
Fluvanna County,Virginia,VA,26282
Franklin County,Virginia,VA,56233
Frederick County,Virginia,VA,85153
Giles County,Virginia,VA,16814
Gloucester County,Virginia,VA,37161
Goochland County,Virginia,VA,22482
Grayson County,Virginia,VA,15811
Greene County,Virginia,VA,19410
Greensville County,Virginia,VA,11659
Halifax County,Virginia,VA,34779
Hanover County,Virginia,VA,104449
Henrico County,Virginia,VA,325642
Henry County,Virginia,VA,51588
Highland County,Virginia,VA,2214
Isle of Wight County,Virginia,VA,36372
James City County,Virginia,VA,74153
King and Queen County,Virginia,VA,7052
King George County,Virginia,VA,25890
King William County,Virginia,VA,16497
Lancaster County,Virginia,VA,10804
Lee County,Virginia,VA,24134
Loudoun County,Virginia,VA,385143
Louisa County,Virginia,VA,35380
Lunenburg County,Virginia,VA,12278
Madison County,Virginia,VA,13139
Mathews County,Virginia,VA,8796
Mecklenburg County,Virginia,VA,30847
Middlesex County,Virginia,VA,10700
Montgomery County,Virginia,VA,97997
Nelson County,Virginia,VA,14812
New Kent County,Virginia,VA,21103
Northampton County,Virginia,VA,11957
Northumberland County,Virginia,VA,12223
Nottoway County,Virginia,VA,15500
Orange County,Virginia,VA,35612
Page County,Virginia,VA,23749
Patrick County,Virginia,VA,17859
Pittsylvania County,Virginia,VA,61676
Powhatan County,Virginia,VA,28574
Prince Edward County,Virginia,VA,22956
Prince George County,Virginia,VA,37894
Prince William County,Virginia,VA,456749
Pulaski County,Virginia,VA,34234
Rappahannock County,Virginia,VA,7332
Richmond County,Virginia,VA,8878
Roanoke County,Virginia,VA,93583
Rockbridge County,Virginia,VA,22509
Rockingham County,Virginia,VA,79444
Russell County,Virginia,VA,27408
Scott County,Virginia,VA,22009
Shenandoah County,Virginia,VA,43045
Smyth County,Virginia,VA,31059
Southampton County,Virginia,VA,17939
Spotsylvania County,Virginia,VA,131412
Stafford County,Virginia,VA,144012
Surry County,Virginia,VA,6600
Sussex County,Virginia,VA,11486
Tazewell County,Virginia,VA,42080
Warren County,Virginia,VA,39449
Washington County,Virginia,VA,54406
Westmoreland County,Virginia,VA,17638
Wise County,Virginia,VA,39025
Wythe County,Virginia,VA,28940
York County,Virginia,VA,67587
Alexandria city,Virginia,VA,156505
Bristol city,Virginia,VA,16843
Buena Vista city,Virginia,VA,6399
Charlottesville city,Virginia,VA,47042
Chesapeake city,Virginia,VA,237820
